id,date,date_label,phase,lane,title,verbatim,detail,actors,starred,highlighted
t01,2025-01,Before February 2025,Origins & co-creation,Context & co-creation,NRW route reopened after a round-one failure,NRW failed Round 1 ... came back final ... VERY EARLY CO-CREATION,"A failed first round was followed by a return at the final stage, with very early co-creation between the team and NRW.",NRW; Sprint team,,
t04,2025-02,"Early 2025, and throughout",Origins & co-creation,Research & evidence,Literature review underpinned the unfolding project,LITERATURE REVIEW - underpinned project as it unfolded,The literature review fed multiple downstream outputs and supported the project as it developed.,Sprint team,,
t05,2025-02,Early 2025,Origins & co-creation,Context & co-creation,Early co-creation shaped the research,EARLY CO-CREATION,Co-creation preceded and informed the formal Sprint period and the fieldwork design.,NRW; Sprint team,,
t02,2025-02-07,7 February 2025,Origins & co-creation,Context & co-creation,First workshop with NRW at Welsh Government,7th FEB 2025 - FIRST WORKSHOP WITH NRW @ WELSH GOVT.,The first recorded workshop brought NRW and the research team together at Welsh Government.,NRW; Welsh Government; Sprint team,,
t03,2025-02-07,At the early workshop,Origins & co-creation,Influence & reflections,Chance cafe encounter with Ceri Davies,"THE TEAM BUMPED INTO CERI DAVIES, NRW CHAIR, IN THE CAFE - 'instant saliency!'","The chance encounter helped give the research early authority and legitimacy, and put the project on the NRW Chair's radar.",Ceri Davies; NRW; Sprint team,,
t06,2025-05,Spring to summer 2025,Origins & co-creation,Analysis & framing,Abstract submission and conceptual framing development,abstract submission & conceptual framing development,"Flowing from the literature review, an abstract was submitted while the project's conceptual framing developed.",Sprint team,,
t07,2025-06,June 2025,"Sprint, fieldwork & early evidence",Context & co-creation,Formal Sprint period begins,JUNE 2025,The boxed month marker on the wall chart: the formal start of the Sprint timeline.,Agile Initiative; NRW; Sprint team,,
t08,2025-06,From June 2025,"Sprint, fieldwork & early evidence",Research & evidence,Fieldwork 1,FIELDWORK 1,"The first fieldwork phase, feeding the iterative findings cycle.",Sprint team; Participants,,
t10,2025-06,Across early fieldwork,"Sprint, fieldwork & early evidence",Analysis & framing,Iterative findings cycle,iterative findings,Findings looped back into the research design as fieldwork progressed.,Sprint team,,
t09,2025-07,Mid to late 2025,"Sprint, fieldwork & early evidence",Research & evidence,Fieldwork 2,FIELDWORK 2,"The second fieldwork phase, running into the autumn.",Sprint team; Participants,,
t11,2025-09,September to December 2025,"Sprint, fieldwork & early evidence",Policy liaison,Early evidence fed into SoNaRR 'Bridges to the Future',SEP-DEC: SoNaRR 'BRIDGES TO THE FUTURE' - Sprint team fed in early evidence,The Sprint team fed early evidence into NRW's SoNaRR future-focused work. Starred on the wall chart as a key moment.,NRW; Sprint team,yes,
t12,2025-10,Autumn 2025,"Sprint, fieldwork & early evidence",Analysis & framing,Second analysis and the 'coping to hoping' reframing,2nd analysis - 'coping to hoping' framing,The second analysis pass produced the 'coping to hoping' framing that carried through later outputs.,Sprint team,,
t13,2025-11,Late 2025,"Sprint, fieldwork & early evidence",Analysis & framing,"Conceptual framing fit, but didn't quite do enough","reflected that sub conceptual framing fit, but didn't quite do enough",A reflective note: the sub conceptual framing fitted the material but did not go far enough on its own.,Sprint team,,
t14,2025-12,December 2025 to January 2026,"Sprint, fieldwork & early evidence",Research & evidence,Fieldwork 3,FIELDWORK 3,"The third and final fieldwork phase, just before the survey launched.",Sprint team; Participants,,
t15,2026-01,January 2026,From findings to policy drafts,Research & evidence,Survey launched,JANUARY: SURVEY LAUNCHED,"The survey went live, generating the evidence that later fed policy outputs.",Sprint team; NRW; Survey respondents,,
t16,2026-01,January to February 2026,From findings to policy drafts,Analysis & framing,"Conversations about place-based, focussed and catchment approaches",conversations about place based / focussed / catchment,Framing conversations about what 'place-based' should mean ran alongside the survey.,NRW; Sprint team,,
t17,2026-02,February 2026,From findings to policy drafts,Outputs & sharing,First draft of policy brief,FEB: FIRST DRAFT OF POLICY BRIEF,The first draft of the policy brief was produced.,Caitlin Hafferty; Charlotte; Sprint team,,
t18,2026-02,"February 2026, at IPBES-12",From findings to policy drafts,Outputs & sharing,Policy brief drafted at IPBES-12 in Manchester,FEB 2026: IPBES-12 ... Caitlin & Charlotte drafted policy brief while at IPBES in Manchester,Caitlin and Charlotte drafted the policy brief while attending IPBES-12. Starred on the wall chart.,Caitlin Hafferty; Charlotte,yes,
t19,2026-02,February to March 2026,From findings to policy drafts,Analysis & framing,Final analysis,final analysis,"The final analysis pass, feeding the synthesis of findings.",Sprint team,,
t20,2026-02,Early 2026,From findings to policy drafts,Policy liaison,Scottish Government engagement opened,Luke engaged with ScottishGov ... early conversations about ScottishGov with team ... met for initial meeting ... come from Luke's earlier networks 2024?,"Engagement with Scottish Government opened through Luke's earlier networks, moving from early conversations to an initial meeting.",Luke; Scottish Government; Sprint team,,
t21,2026-02,February to April 2026,From findings to policy drafts,Outputs & sharing,Report refined through feedback,Report was refined based on feedback - lots of paper iterations,The report went through many iterations in response to feedback.,NRW; Sprint team; Policy collaborators,,
t24,2026-02,Early 2026,From findings to policy drafts,Influence & reflections,'Hopeful' narrative helped findings travel,'hopeful' narrative helped early findings travel in ops teams,The hopeful framing of early findings helped them circulate in operational teams.,Sprint team; NRW,,
t25,2026-02,Through the liaison phase,From findings to policy drafts,Policy liaison,Policy liaison through existing networks,POLICY LIAISON ... Policy Liaison & existing networks helped with translating the brief to Scottish Govt. ... Policy brief iteratively refined based on feedback in Policy Liaison meetings,Policy liaison meetings and existing networks translated the brief for different audiences and refined it iteratively.,NRW; Scottish Government; Sprint team; Policy collaborators,,
t26,2026-02,During policy liaison,From findings to policy drafts,Influence & reflections,Capacity constraint: NRW lacked resources,NRW just lack of resources!,A capacity note from the board: NRW's lack of resources constrained engagement.,NRW,,
t22,2026-03,March to May 2026,From findings to policy drafts,Outputs & sharing,Paper 1: drafting and redrafting,MAR - Paper 1 draft ... Drafting + redrafting paper 1 - 2 months,Paper 1 moved from first draft through two months of drafting and redrafting.,Sprint team; NRW collaborators,,
t23,2026-03,Spring 2026,From findings to policy drafts,Influence & reflections,NRW became intellectual collaborators,NRW as intellectual collaborators - conceptual framing & interpretation,NRW moved beyond a stakeholder role into shaping conceptual framing and interpretation.,NRW; Sprint team,,
t29,2026-04,Around 23 April 2026,The policy window,Policy liaison,Meeting with Prys Davies,Had meeting with Prys Davies,A meeting with Prys Davies followed from the NRP Forum presentation.,Prys Davies; Sprint team,,
t30,2026-04,April to May 2026,The policy window,Policy liaison,NRP Executive Team meetings,APRIL-MAY 2026: EXECUTIVE TEAM NRP MEETINGS,The work reached NRP Executive Team meetings.,NRP Executive Team; NRW; Sprint team,,
t31,2026-04,April to May 2026,The policy window,Policy liaison,Knowledge sharing with Scottish Government,APRIL-MAY: KNOWLEDGE SHARING WITH SCOTTISH GOVERNMENT,The Scottish Government engagement matured into structured knowledge sharing.,Scottish Government; Luke; Sprint team,,
t32,2026-04,April to June 2026,The policy window,Analysis & framing,"Survey findings, synthesis and slides fed policy use",early survey findings useful to quantifying AS / place-based work ... synthesis of findings ... designed slides ... survey outputs -> policy report evidence,Early survey findings helped quantify Area Statements and place-based work; synthesis and designed slides turned survey outputs into policy report evidence.,Sprint team; Policy audiences,,
t47,2026-04,Across the final phase,The policy window,Influence & reflections,"Translating, drafting, redrafting: the core influence practice","Translating, drafting, redrafting existing outputs","The cloud on the wall chart naming the underlying practice: translating, drafting and redrafting existing outputs for each new audience.",Sprint team; NRW; Policy collaborators,,
t27,2026-04-22,22 April 2026,The policy window,Outputs & sharing,Valleys workshop filming,22nd APRIL - Valleys workshop filming,Filming at the Valleys workshop. Highlighted on the wall chart.,Sprint team; Workshop participants,,yes
t28,2026-04-23,23 April 2026,The policy window,Policy liaison,WG NRP Forum: Sprint team presented,23rd APRIL - WG NRP FORUM - Sprint team presented,The Sprint team presented at the Welsh Government Natural Resources Policy Forum.,Sprint team; Welsh Government; NRP Forum,,
t35,2026-05,Election period,The policy window,Influence & reflections,Area Statements included in GP manifesto,Area Statements included in GP manifesto,Area Statements appeared in a party manifesto ('GP' as written on the board).,Area Statements,,
t36,2026-05,After the election,The policy window,Influence & reflections,Place-based working became more salient,Place-based working more salient post-election.,The election outcome raised the salience of place-based working.,NRW; Welsh Government; Sprint team,,
t37,2026-05,May to June 2026,The policy window,Outputs & sharing,Live evidence base translated for short-term requests,'live' evidence base adapted & translated to short term evidence requests,The live evidence base was adapted and translated to answer short-term evidence requests.,Sprint team; NRW; Policy collaborators,,
t38,2026-05,Late May 2026,The policy window,Policy liaison,Short-term request: Exec Group policy briefing,SHORT TERM REQUEST FOR EXEC GROUP POLICY BRIEFING,A short-term request came in for a policy briefing for the Exec Group.,NRW Exec Group; Sprint team,,
t33,2026-05-06,6 May 2026,The policy window,Outputs & sharing,'Impact Party','IMPACT PARTY' - 6th MAY,The Impact Party marked the push of outputs into the policy window. Highlighted on the wall chart.,Sprint team; Partners,,yes
t34,2026-05-07,7 May 2026,The policy window,Context & co-creation,Senedd elections,SENEDD ELECTIONS 7th MAY ... power & legitimacy,The Senedd elections reshaped the policy landscape. Annotated on the board with 'power & legitimacy'.,Senedd; Welsh political parties,,
t40,2026-06,May to June 2026,Landing & legacy,Outputs & sharing,Scottish slides formed an options evidence base,Scottish slides formed evidence base for catchment / hybrid / etc. options menu,"The slides built for Scottish Government became the evidence base for a catchment, hybrid and other options menu.",Sprint team; NRW,,
t42,2026-06,June 2026,Landing & legacy,Outputs & sharing,Presented at RSA,Presented at RSA - JUNE,The work was presented at the RSA.,Sprint team; RSA audience,,
t39,2026-06-05,5 June 2026,Landing & legacy,Policy liaison,Area Statements 2.0 workshop,AS 2.0 WORKSHOP - 5th JUNE,The Area Statements 2.0 workshop. Starred on the wall chart as a key moment.,NRW; Sprint team; Workshop participants,yes,
t41,2026-06-08,8 June 2026,Landing & legacy,Outputs & sharing,Final report and brief shared for feedback,8th JUNE - FINAL REPORT & BRIEF SHARED WITH NRW & WG FOR FEEDBACK,The final report and brief went to NRW and Welsh Government for feedback.,NRW; Welsh Government; Sprint team,,
t43,2026-07,July 2026,Landing & legacy,Outputs & sharing,Presented at POLLEN,Presented at POLLEN - JULY,The work was presented at the POLLEN conference.,Sprint team; POLLEN audience,,
t44,2026-07,July 2026,Landing & legacy,Outputs & sharing,Filming: Lake Vyrnwy and Radnorshire,JULY - FILMING LAKE VYRNWY & RADNORSHIRE,Filming took place at Lake Vyrnwy and in Radnorshire. Highlighted on the wall chart.,Sprint team,,yes
t46,2026-07,Reflection: pivot points,Landing & legacy,Influence & reflections,Pivot point: evidence earned a role in NRP decisions,PIVOT POINTS: SoNaRR + survey + policy brief led to role in NRP meetings / board decisions -> e.g. voting for hybrid options for future of place-based policy rather than catchments,"The combination of SoNaRR input, the survey and the policy brief earned the work a role in NRP meetings and board decisions, including votes on hybrid options for the future of place-based policy.",NRP decision-makers; NRW; Sprint team,,
t45,2026-07-09,9 July 2026,Landing & legacy,Outputs & sharing,Report complete,9th JULY - REPORT COMPLETE,"The report was completed, closing the Sprint timeline.",Sprint team; NRW,,
